name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,cap,mean_40,variance_40,mean_50,variance_50,normalization,other
distance_capped_smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.0001,0.5029174249999999,0.0014207151828881,0.5734610750000001,0.0010366552664756,0.64426425,0.001636261838775,0.643230525,0.0027337223701056,10.0,,,,,False,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.0001,0.4915876,0.0003596702353525,0.627313325,0.0052161075696131,0.6471800000000001,0.0043626349947874,0.653364375,0.0037111993765531,,,,,,False,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.0005,0.5084250750000001,0.0013470037113506,0.5971889750000001,0.0043300990520056,0.616395225,0.0051333763264931,0.5989180249999999,0.0025312986712306,,,,,,False,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",1e-05,0.4779523499999999,0.001195603253365,0.535280875,0.0020858188275781,0.52976185,0.00186855427694,0.5351481499999999,0.0024579063417524,,,,,,False,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.001,0.503670625,0.0009761508883281,0.6065456499999999,0.0065801618341774,0.55133935,0.0015962872793275,0.5354547249999999,0.0004603282087056,,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.49473255,0.0181975271449724,0.7216491,0.00568496052449,0.8045992500000001,0.0037314398907625,0.8245419,0.00317626077529,1.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0005,0.51974275,0.0062637706733625,0.6699805999999999,0.01159203771284,0.7218649499999998,0.0170504720019724,0.7484336500000002,0.0105466473373024,1.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0001,0.52285355,0.0110365757207225,0.5009022,0.00505623204611,0.55982265,0.0066589141763024,0.6201091999999999,0.0097467873317599,1.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.4573437499999999,0.0080044975208124,0.8107831000000001,0.00166148569714,0.8292586,0.0015237281180899,0.84524995,0.0018731426551224,5.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0005,0.5211385000000001,0.0135658608010999,0.82081635,0.0008257154746025,0.8301656999999999,0.00074230473701,0.81786925,0.0019784989172125,5.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0001,0.5292404,0.01358646398999,0.7399819000000001,0.0079796592604899,0.7617978,0.00816891291991,0.7776147000000001,0.00878078080846,5.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.4904628499999999,0.0102292364642524,0.8238332500000001,0.0018689008843125,0.8429208499999999,0.0015000347815025,0.85336975,0.0016353820284124,10.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0005,0.49605905,0.0082413410881224,0.8312626999999997,0.00103650894756,0.84703635,0.0018626555275024,0.8584137000000001,0.00138403197706,10.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0001,0.501442,0.01291041969345,0.76833065,0.0043197270906524,0.8130889,0.0022887997355399,0.8208643999999999,0.00147145665904,10.0,,,,,False,
normal,3.0,"(0, 3, 1)","(1, 1, 1)",0.0001,0.477905525,0.0060842481987917,0.5913377416666667,0.0049173504868978,0.6511683666666667,0.0025417049238433,0.6831416583333334,0.0013263362859547,,,,,,True,
normal,3.0,"(0, 3, 1)","(1, 1, 1)",0.001,0.4964335999999999,0.0034210783399413,0.7407451,0.0003324653710455,0.7858666833333334,0.0001092403153511,0.8135917416666667,6.161690348256987e-05,,,,,,True,
normal,3.0,"(0, 3, 1)","(1, 1, 1)",0.0005,0.498745875,0.0061786651522628,0.6992401166666667,0.0005394939593516,0.7279232166666667,0.0005834863543044,0.7545423916666666,0.0005164767015514,,,,,,True,
ratio,3.0,"(0, 3, 1)","(20, 2, 1)",0.0001,0.5084347833333334,0.006626885149535,0.4839550166666666,0.0039694156900358,0.5132652333333334,0.0027733159291469,0.5452942833333332,0.0024429159690391,,,,,,True,
ratio,3.0,"(0, 3, 1)","(20, 2, 1)",0.001,0.5207228,0.0051938102263961,0.6273214999999999,2.727303598333344e-05,0.6462850416666667,3.19074305878472e-05,0.6575716,3.7413270306666416e-05,,,,,,True,
ratio,3.0,"(0, 3, 1)","(20, 2, 1)",0.0005,0.5155906083333333,0.0053705659291806,0.6034254083333332,0.0001205849533659,0.6263224166666668,1.975918218888909e-05,0.6370962666666666,1.4283318683055492e-05,,,,,,True,
oversampled,3.0,"(0, 3, 1)","(20, 2, 1)",0.001,0.4501459083333333,0.0041282875367422,0.7379383833333334,0.0001824929857461,0.7935192583333334,7.873031686173604e-05,0.8210713166666667,4.197355225666649e-05,,,,,,True,
oversampled,3.0,"(0, 3, 1)","(20, 2, 1)",0.0005,0.496475925,0.0062363151609534,0.7126520583333334,0.000626783335432,0.7446003583333335,0.0006234663055334,0.7726212749999999,0.0005144928766,,,,,,True,
oversampled,3.0,"(0, 3, 1)","(20, 2, 1)",0.0001,0.5033478416666666,0.0028327447298381,0.636385925,0.0014317881685992,0.6831545083333334,0.0004576110090964,0.7016962,0.0002938898354405,,,,,,True,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.0001,0.521081525,0.003531041517725,0.6227193750000001,0.0027601884106128,0.6658072916666666,0.0022982494699322,0.6852791666666666,0.0016867347008958,,,,,,True,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.0005,0.4984609416666665,0.0017209528850097,0.7047526666666666,0.0004071737709638,0.7065744666666667,0.0001632861697919,0.7159433916666667,0.0001197341904375,,,,,,True,
smote,3.0,"(0, 3, 1)","(20, 2, 1)",0.001,0.5027773083333333,0.0030998828318181,0.6981288416666666,0.0001707946514367,0.7212447583333332,0.0002023448215103,0.7320439999999999,0.0001625097704458,,,,,,True,
triplet_loss_capped_smote,2.0,"(0, 1)","(100, 1)",0.005,0.54127945,0.0109234800785224,0.8273225499999999,4.3766270522500174e-05,0.8546718999999999,8.258372349000017e-05,0.85750555,0.0001266418011225,1.0,,,,,True,
triplet_loss_capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.5294089000000001,0.00892729115279,0.7506205999999999,0.0004086438403899,0.7748996,0.00021154955784,0.7946548499999999,0.0003298675035024,1.0,,,,,True,
