name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
normal,2,"(6, 8)","(10, 1)",1e-05,0.4344953659446228,0.01917224197353966,0.9949902581953334,8.142583998650395e-07,0.9960858629159827,3.6049366824827164e-07,0.996449974922087,3.7473433373162933e-07,0.9968880346203806,6.907526961932801e-07,0.9969669657439996,6.083917097504921e-07
normal,2,"(6, 8)","(10, 1)",1e-06,0.5140628148135447,0.019560843984322073,0.9808105202916755,1.271478426773597e-05,0.988094635898711,6.859625390246316e-06,0.9905948180886771,3.876162683953419e-06,0.9921000287217124,2.9244101027314552e-06,0.9928643156301844,2.123853188723922e-06
normal,2,"(6, 8)","(10, 1)",1e-07,0.49170515876247994,0.02899037928260521,0.8116925233524668,0.0034582545427517936,0.906146339267725,0.0007803961895670948,0.9395704817960071,0.0002814033329602407,0.954990611858209,0.00015105593176656406,0.9641476403184253,8.264403158088223e-05
normal,2,"(6, 8)","(10, 1)",1e-08,0.4823374329648094,0.022065935091695424,0.5289703480471379,0.021044028042572882,0.5775562859825184,0.0185477757110225,0.6212215944408482,0.01533352877274215,0.6623414947293514,0.011926686016001683,0.699183735365859,0.008960201907711015
normal,2,"(6, 8)","(10, 1)",1e-09,0.45517880337630157,0.0186359527818724,0.45804524098374005,0.018890211824068408,0.4613981258011,0.019187102982400887,0.4657147955399896,0.019451657832287698,0.4699096123426201,0.01977465266240639,0.4734141970995358,0.020045107272386613
ratio,2,"(6, 8)","(10, 1)",1e-05,0.5322282797409044,0.012176315028287126,0.9945985497678687,1.1899738850592155e-06,0.9952523974056149,8.987445856438462e-07,0.9954559143149873,6.404184603843845e-07,0.9955586373047887,3.834688616259367e-07,0.9954391957063183,5.795783177334404e-07
ratio,2,"(6, 8)","(10, 1)",1e-06,0.49203835205960395,0.027652180840809178,0.9815485504108918,8.5651439847102e-06,0.9890475965928334,2.3125854712159735e-06,0.9915961127091435,7.839610255929801e-07,0.9925899053898222,5.263306593284742e-07,0.9934704187797131,4.204178139811401e-07
ratio,2,"(6, 8)","(10, 1)",1e-07,0.45802332460250444,0.03580931002784516,0.8210249900331373,0.002604368170840184,0.9124298032777046,0.0003477189877934531,0.9435350962177361,0.00013329948029885703,0.9580257895255773,7.443436302356368e-05,0.965865852456135,4.665185125662707e-05
ratio,2,"(6, 8)","(10, 1)",1e-08,0.44825344124695105,0.029835316283108603,0.4902965088115641,0.030991164704868263,0.5371433899336828,0.02978777110663649,0.5884412255168836,0.025933759785817738,0.6371169723885746,0.02125226432426171,0.6796243028554525,0.016244391939707902
ratio,2,"(6, 8)","(10, 1)",1e-09,0.5008270888615485,0.04111617947888101,0.5038759843616707,0.04073483700159921,0.5078470826027872,0.0403925888923574,0.5125727688159367,0.04006081923704684,0.5163022510106186,0.03962569997132945,0.5201585695729894,0.0390391575479736
oversampled,2,"(6, 8)","(10, 1)",1e-05,0.5091874113163546,0.019281192518724434,0.9943575231595597,1.5942085747575813e-06,0.9952350357735357,6.279705340645676e-07,0.9955099282814557,4.835193686197705e-07,0.9958167576187558,4.1579775063124934e-07,0.9959199092908311,2.62427367086618e-07
oversampled,2,"(6, 8)","(10, 1)",1e-06,0.5263679787202119,0.024876530712710933,0.9818288014472316,9.8589083354786e-06,0.9890217684858514,4.625479305960677e-06,0.9915143951507461,4.122687096179719e-06,0.9928168390683876,2.385122607573492e-06,0.9935698730671787,1.5365531831379532e-06
oversampled,2,"(6, 8)","(10, 1)",1e-07,0.5412325365558808,0.030636579943230147,0.8200444329176543,0.006024921447520097,0.9061858852074607,0.001144365989490896,0.937961047785213,0.0003615254921179532,0.9537853716460971,0.00014738264639631448,0.96321750695537,7.295144589353722e-05
oversampled,2,"(6, 8)","(10, 1)",1e-08,0.5355620346118067,0.02212664218141302,0.583559874053148,0.019316431717761363,0.6310196100706038,0.015663207349601197,0.6723258799775371,0.011906779061120868,0.7089134833435502,0.008594992995849917,0.7415601033981644,0.00604772048038721
oversampled,2,"(6, 8)","(10, 1)",1e-09,0.5383629910019592,0.028495325808830786,0.543346154505665,0.02844734338172127,0.5483069729458617,0.02846112626556943,0.5540336858530563,0.028521567255404244,0.5596869869209038,0.028597886561620177,0.5652993488316265,0.028560859623358376
undersampled,2,"(6, 8)","(10, 1)",1e-05,0.4563922421368954,0.03166242833193193,0.98147546008325,1.0119780860328118e-05,0.9892487021644168,3.6097490595591545e-06,0.9915100547427265,1.5026233173901247e-06,0.9927658258778342,6.952968775130483e-07,0.9935973087326866,8.462805620294409e-07
undersampled,2,"(6, 8)","(10, 1)",1e-06,0.5467371384600875,0.020988775889458685,0.8561373905252644,0.002235522417740534,0.9285990020276673,0.000368890594081767,0.9529261851993158,0.00012507231410974727,0.9650212947919391,6.404301417721574e-05,0.9715215648617714,4.132999738867668e-05
undersampled,2,"(6, 8)","(10, 1)",1e-07,0.4616786983491446,0.016864575373019986,0.49999903546488456,0.016769399134871923,0.5466802844735568,0.014954865575600523,0.5922945968886241,0.01240813232899771,0.6352713880303336,0.009729471705944077,0.6742800817068413,0.007350269285207618
undersampled,2,"(6, 8)","(10, 1)",1e-08,0.5689233216017284,0.02831531628363152,0.5733561106514684,0.02870144904750096,0.5778261414737238,0.028767508656155648,0.5822111324499619,0.0288372012101684,0.5863079953530842,0.028935829077159858,0.5903604360556086,0.028935509203038695
