name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,cap,normalization,other
triplet_loss,2,"(0, 1)","(1, 1)","(5e-06, 0.01)",0.4908589,0.02121566563819,0.9125157,2.461371860999998e-05,0.9270468,1.583974736000021e-05,0.9363956,4.815552239999994e-06,,True,
triplet_loss,2,"(0, 1)","(1, 1)","(1e-06, 0.005)",0.4986065,0.0107379707144,0.888358,5.713653180000044e-05,0.9109669,2.363630789000024e-05,0.9218651,1.163938369000013e-05,,True,
triplet_loss,2,"(0, 1)","(1, 1)","(1e-06, 0.01)",0.4797529,0.00860766921094,0.9115887,2.1540019809999883e-05,0.92708745,3.911363282249988e-05,0.9341724,1.296928004e-05,,True,
triplet_loss,2,"(0, 1)","(1, 1)","(5e-06, 0.05)",0.5088944999999999,0.0073553057686,0.9326123,9.668614610000156e-06,0.9380064,5.3154925439999847e-05,0.9452707,2.859605560999949e-05,,True,
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.01)",0.5014337,0.0111769529588099,0.8223176000000001,0.0001871741514399,0.8453641,0.0022485019108899,0.8549200000000001,0.00026679056595,0.75,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.005)",0.5478694,0.02516450606469,0.7885909499999999,0.0001487270757225,0.8381651999999999,0.00241416938396,0.8552975999999999,0.00020974969964,0.75,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.01)",0.43898105,0.0154534559801224,0.7708438,0.02570253276176,0.8007422999999999,0.01559826384281,0.84835765,0.0005868940284024,0.75,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.05)",0.4732293999999999,0.0126766392579899,0.8421633,0.0010273426767599,0.7883011,0.01132446894039,0.81694245,0.0099322125236724,0.75,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.01)",0.4597143,0.01662572005781,0.8251941,6.633273629000008e-05,0.81656785,0.0113402117308025,0.8586579999999999,0.0009813915297999,1.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.005)",0.42451935,0.0230543977153524,0.78302145,6.964928982249966e-05,0.8317969999999999,0.0041398723156,0.86366455,0.0004607476443224,1.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.01)",0.4771135,0.0209267159736999,0.8254360999999999,6.463522888999999e-05,0.8433688,0.0017317225997599,0.8300466500000001,0.0039433811740025,1.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.05)",0.5033400499999999,0.0147264853180224,0.8568970499999999,0.0008773789753225,0.84498915,0.0017523351408025,0.8335314,0.0015860570816899,1.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.01)",0.4872303,0.0208248396457599,0.8326192000000001,0.0002375567249099,0.8337315000000001,0.003595591222,0.8458295000000001,0.00201149110745,5.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.005)",0.5479108,0.0133632932701599,0.7887073000000001,9.009023615999928e-05,0.8510182000000001,0.0001258315327599,0.86156865,0.0002308903398025,5.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(1e-06, 0.01)",0.47434115,0.0138768842648525,0.8283379999999999,0.0001107538398,0.8445823000000001,0.0016599919220099,0.86578815,0.0004141063421024,5.0,True,start_epoch=7
cosine_distance_capped_smote_with_smote_triplet_loss,2,"(0, 1)","(100, 1)","(5e-06, 0.05)",0.5157525,0.0076340110572999,0.8307297000000002,0.00479372452121,0.8680622,0.0004493706139599,0.83616525,0.0086562636481624,5.0,True,start_epoch=7
cosine_distance_capped_smote_avg,2,"(0, 1)","(100, 1)",0.0005,0.50636792,0.011096174266718599,0.8027596750000002,0.005690466199821873,0.8318466799999997,0.0029190428728726,0.8350188300000005,0.003566992738851099,0.75,False,num_models=100
cosine_distance_capped_smote_avg,2,"(0, 1)","(100, 1)",0.001,0.51062767,0.012447487965431098,0.8155201100000002,0.005757823013672899,0.835062465,0.0029486269744712747,0.8326007249999998,0.0022179101909068745,0.75,False,num_models=100
