name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
normal,2,"(0, 1)","(1, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.77910575,0.0145068338174624,0.84148475,0.0023757573245125,0.8049157000000001,0.00425928101871,0.7472957000000001,0.01649422498546,0.8236022000000001,0.01086748083321
normal,2,"(0, 1)","(1, 1)",1e-06,0.53490505,0.0086060348989724,0.7956359500000001,0.0001840984570225,0.8118000500000001,0.0003450463902725,0.8264205500000001,0.0001259128274725,0.8233665499999999,0.0001787609605224,0.8326911499999999,0.0001667228358525
normal,2,"(0, 1)","(1, 1)",5e-07,0.5275359,0.00833120921169,0.77333865,0.0001397653467025,0.7887498,0.00020414396776,0.8012477,0.0001409110044599,0.8088807499999999,7.449802441249995e-05,0.81046945,5.377894807250004e-05
normal,2,"(0, 1)","(1, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.6952516999999999,0.0002169712152599,0.7379711999999999,0.00010511842841,0.7574641000000001,0.0001066766510399,0.7683119,6.018429524000025e-05,0.77610335,5.560563080250024e-05
normal,2,"(0, 1)","(1, 1)",1e-08,0.5146188,0.00386855436301,0.5396533499999999,0.0099336654033025,0.56193685,0.0083813210703525,0.58230795,0.0070108753772724,0.6000903500000001,0.0060144608799024,0.61548705,0.0051127748086724
ratio,2,"(0, 1)","(100, 1)",1e-05,0.48528865,0.0052679471852024,0.74449525,0.0004885941874124,0.78699765,9.227423620249949e-05,0.7884684999999999,0.0003332185148,0.8016416,0.0001575613954399,0.8047402,0.0001185082613099
ratio,2,"(0, 1)","(100, 1)",1e-06,0.52599935,0.0080323392276025,0.6570182,0.0015504476786599,0.6750440000000001,0.0015479874836,0.69081055,0.0016019725007725,0.7043795500000002,0.0013904596970725,0.7190117,0.00104111327711
ratio,2,"(0, 1)","(100, 1)",5e-07,0.5460846000000001,0.00797309220569,0.6542001500000001,0.0024608216333524,0.6624815500000001,0.0021555641226225,0.67146335,0.0018038113303524,0.6782096999999999,0.0016080290218599,0.6861652500000001,0.0012226706387625
ratio,2,"(0, 1)","(100, 1)",1e-07,0.5057343,0.0060335149359599,0.6330010500000001,0.0020191133431224,0.6360660499999999,0.0019439152827225,0.6387957999999999,0.00193854389296,0.6411051499999998,0.0019349408655024,0.64389185,0.0018952128696525
ratio,2,"(0, 1)","(100, 1)",1e-08,0.5106596499999999,0.0055356503105524,0.5849338000000001,0.00387968185566,0.59682485,0.0036318123871024,0.60322505,0.0034343918041224,0.60668965,0.0034111661463025,0.60955925,0.0032597649198125
